paper_doi,dataset_name,dataset_url,relationship,available_inputs,event_annotations,verification_status,source_note,notes
https://doi.org/10.1038/s41467-025-65181-5,Widloski 2025 data,https://zenodo.org/records/16916108,original,not_verified,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#widloski-archives,Data-deposit metadata inspected in the existing audit; arrays and event annotations were not exhaustively inspected. The separate Zenodo 15199609 deposit is code.
https://doi.org/10.1126/science.adk8261,Huszar 2022 / DANDI 000552,https://dandiarchive.org/dandiset/000552,reused,not_verified,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/papers/02_Yang_2024.md,Yang dataset 1 reuses the Huszar 2022 mouse dataset. Direct DANDI draft metadata checked September 26 confirms its identity and source-paper DOI (sources.md#dataset-catalog-checks); individual signal files and event annotations remain unverified.
https://doi.org/10.1126/science.adk8261,Grosmark 2016 / CRCNS hc-11,https://crcns.org/data-sets/hc/hc-11/about-hc-11,reused,spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/papers/02_Yang_2024.md,"Yang dataset 2 reuses the Achilles session. The CRCNS description lists spikes, position and epochs; see sources.md#grosmark-data for the archive inspection scope. This does not identify the independent LFP detector used by Yang."
https://doi.org/10.1126/science.adk8261,Yang 2024 released HSE event example,https://github.com/winnieyangwannan/Selection-of-experience-for-memory-by-hippocampal-sharp-wave-ripples/tree/2fa546845defbdd750c9059e7d54489782fed57c,not_verified,not_verified,reported_present,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#yang-analysis,The inspected release includes Data/e13_26m1_210913.rippleHSE.events.mat. Stored metadata names find_HSE but leaves detectionparms empty. Assignment of this example to original versus reused recordings is not established.
https://doi.org/10.1016/j.neuron.2023.04.015,CRCNS hc-3,https://crcns.org/data-sets/hc/hc-3/about-hc-3,reused,lfp;spikes;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Metadata lists LFP, sorted spikes and tracking for many sessions; exact paper/session subset is not pinned. Harvey key resources identify this reused dataset. CRCNS downloads require an account; consult the deposit use conditions."
https://doi.org/10.1016/j.neuron.2023.04.015,CRCNS pfc-2,https://crcns.org/data-sets/pfc/pfc-2/about-pfc-2,reused,lfp;spikes;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Metadata lists raw recordings, LFP, sorted spikes and tracking; exact paper/session subset is not pinned. Harvey key resources identify this reused dataset. CRCNS downloads require an account; consult the deposit use conditions."
https://doi.org/10.1016/j.neuron.2023.04.015,CRCNS hc-11,https://crcns.org/data-sets/hc/hc-11/about-hc-11,reused,spikes;behavior,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,Archive inspection is described in sources.md#grosmark-data; no documented original SWR/replay table established. Harvey key resources identify this reused dataset. CRCNS downloads require an account; consult the deposit use conditions.
https://doi.org/10.1016/j.neuron.2023.04.015,CRCNS hc-14,https://crcns.org/data-sets/hc/hc-14/about-hc-14,reused,lfp;spikes;behavior,reported_present,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Metadata lists LFP, sorted spikes, tracking and ripple .evt files. Those files were not inspected, and their identity with Harvey replay candidates is not established. Harvey key resources identify this reused dataset. CRCNS downloads require an account; consult the deposit use conditions."
https://doi.org/10.1016/j.cub.2021.10.033,Olafsdottir 2016 raw Axona data,https://zenodo.org/records/5566548,reused,electrophysiology,not_found_in_inspected_scope,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#barry-data,"ZIP inventory of 1,310 entries inspected in the existing audit: raw Axona recordings; no separately named SWR/replay/candidate files found. Variables inside all MAT files were not inspected. The deposit identifies Olafsdottir 2016, rather than new Bush-specific data."
https://doi.org/10.1016/j.neuron.2021.07.029,Gillespie 2021 / DANDI 000115,https://dandiarchive.org/dandiset/000115/0.210914.1732,original,electrophysiology;behavior,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#dataset-catalog-checks,"Pinned published version. Landing metadata lists CA1 tetrode recordings, port/reward events and position; LFP, sorted-unit and ripple-table contents were not checked at the file level in this catalog pass."
https://doi.org/10.1016/j.cub.2021.07.058,Michon 2021 OSF project,https://osf.io/smzby/,original,not_verified,not_verified,metadata_inspected,https://github.com/Eden-Kramer-Lab/ripple_detection/blob/master/docs/literature/sources.md#michon-osf,Paper links data and analysis routines here. Existing audit inspected the API inventory and behavior/place-code notebooks; the code folder was empty and imported detector modules absent. Signal arrays and event inventories were not verified.
